date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:43	1361/1361	---MCZ	404	error ('Not%20Found')	text/html	etag:1581199032-ssl-df	https://demo.adminkit.io/robots.txt		(from )
20:59:43	53058/53058	---MCZ	200	added ('OK')	text/html	etag:%22ffc3c7e613721395817bde8ffc737d9e-ssl-df%22	https://demo.adminkit.io/	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/index.html	(from )
20:59:43	1662/1662	---M--	200	added ('OK')	image/png	etag:%22dd55ec743766d78831304a810f9a408a-ssl%22	https://demo.adminkit.io/img/icons/icon-48x48.png	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/img/icons/icon-48x48.png	(from https://demo.adminkit.io/)
20:59:44	547087/547087	---MCZ	200	added ('OK')	text/css	etag:%2287f77be88ac2623917aeba628fdb5d0a-ssl-df%22	https://demo.adminkit.io/css/light.css	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/css/light.css	(from https://demo.adminkit.io/)
20:59:44	21531/21531	---M-Z	200	added ('OK')	application/javascript	etag:%22cf5907b77438b90636f3961231ab2ca8-ssl-df%22	https://demo.adminkit.io/js/settings.js	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/js/settings.js	(from https://demo.adminkit.io/)
20:59:45	149342/149342	---M--	200	added ('OK')	image/jpeg	etag:%22a8913d9424250de7d029f060db03a014-ssl%22	https://demo.adminkit.io/img/avatars/avatar.jpg	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/img/avatars/avatar.jpg	(from https://demo.adminkit.io/)
20:59:45	38420/38420	---MCZ	200	added ('OK')	text/html	etag:%22b3da4769956e74f20cf22aaf79f1089d-ssl-df%22	https://demo.adminkit.io/pages-profile	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-profile.html	(from https://demo.adminkit.io/)
20:59:46	36890/36890	---MCZ	200	added ('OK')	text/html	etag:%224a354b8488b2eab9b6cec2a3d72071ed-ssl-df%22	https://demo.adminkit.io/pages-settings	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-settings.html	(from https://demo.adminkit.io/)
20:59:46	46868/46868	---MCZ	200	added ('OK')	text/html	etag:%22e6899bd451ffb8fa2e251cd9defbb0b7-ssl-df%22	https://demo.adminkit.io/dashboard-ecommerce	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/dashboard-ecommerce.html	(from https://demo.adminkit.io/)
20:59:47	51347/51347	---MCZ	200	added ('OK')	text/html	etag:%22da957b79752a0e7d1b3a251daa1dc7c7-ssl-df%22	https://demo.adminkit.io/dashboard-crypto	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/dashboard-crypto.html	(from https://demo.adminkit.io/)
20:59:47	45749/45749	---MCZ	200	added ('OK')	text/html	etag:%2257852615f712d6e87ce42156398609cd-ssl-df%22	https://demo.adminkit.io/pages-projects	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-projects.html	(from https://demo.adminkit.io/)
20:59:48	40979/40979	---MCZ	200	added ('OK')	text/html	etag:%2291120d4f924691422047409148357dad-ssl-df%22	https://demo.adminkit.io/pages-clients	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-clients.html	(from https://demo.adminkit.io/)
20:59:48	38926/38926	---MCZ	200	added ('OK')	text/html	etag:%22eae7e75760e90d854d29ebdc6ab695be-ssl-df%22	https://demo.adminkit.io/pages-orders	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-orders.html	(from https://demo.adminkit.io/)
20:59:49	39577/39577	---MCZ	200	added ('OK')	text/html	etag:%226c7c4ea308c31719741f700b353737b6-ssl-df%22	https://demo.adminkit.io/pages-pricing	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-pricing.html	(from https://demo.adminkit.io/)
20:59:49	42971/42971	---MCZ	200	added ('OK')	text/html	etag:%22b6aa2d53add5f3f441537d404168e672-ssl-df%22	https://demo.adminkit.io/pages-chat	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-chat.html	(from https://demo.adminkit.io/)
20:59:50	30713/30713	---MCZ	200	added ('OK')	text/html	etag:%22c4338baa8ad0e93b275f42591948f854-ssl-df%22	https://demo.adminkit.io/pages-blank	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-blank.html	(from https://demo.adminkit.io/)
20:59:50	33629/33629	---MCZ	200	added ('OK')	text/html	etag:%22dc15c08f86516e2db2017a00c2a15eac-ssl-df%22	https://demo.adminkit.io/pages-invoice	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-invoice.html	(from https://demo.adminkit.io/)
20:59:51	44005/44005	---MCZ	200	added ('OK')	text/html	etag:%22f3c83eeeef7008482fb66b2d80466858-ssl-df%22	https://demo.adminkit.io/pages-tasks	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/pages-tasks.html	(from https://demo.adminkit.io/)
20:59:51	32451/32451	---MCZ	200	added ('OK')	text/html	etag:%22e686abde80a3837760502e726329e2e9-ssl-df%22	https://demo.adminkit.io/calendar	C:/WorkSpace/currierSite/.httrack/courrier/demo.adminkit.io/calendar.html	(from https://demo.adminkit.io/)
